BOROUGH,PRICE,NAME,SERVICE,NUM_RATING,RATING,LOCATION,ATTRACTION,ACCOUNT_NUM
Brooklyn,289,Gild Hall A Thompson Hotel,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,2072,4.5,Brooklyn,0.6 km from Wall Street,0
Manhattan,292,SpringHill Suites by Marriott Brooklyn Manhattan Manhattan,Free WI-Fi;24-hour Front Desk;Terrace;,1177,4.5,Manhattan,1.0 km from Madame Tussauds Brooklyn,0
Manhattan,293,Courtyard by Marriott Brooklyn Manhattan / Manhattan,Free WI-Fi;Electric Vehicle Charging StationBusiness Center;,1042,4.5,Manhattan,0.7 km from Madison Square Garden,0
Manhattan,293,Manhattan East Next to Times Square,Free WI-Fi;Family Rooms;Internet Services;,null,null,Manhattan,null,0
Manhattan,293,Ace Hotel Brooklyn,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,1997,4,Manhattan,0.8 km from Madison Square Garden,0
Manhattan,295,Crowne Plaza Times Square Manhattan,Free WI-Fi;24-hour Front Desk;Express Check-out;,11307,4,Manhattan,0.3 km from Times Square,0
Suburban,297,Fairfield Inn & Suites Brooklyn Manhattan / Central Park,DEFAULT,360,4,Suburban,1.9 km from Broadway Shopping District,0
Brooklyn,297,Hampton Inn Manhattan-Seaport-Financial District,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,1247,4,Brooklyn,null,0
Manhattan,297,Chambers Hotel,Free Internet Services;Free WI-Fi;24-hour Front Desk;,733,4.5,Manhattan,0.7 km from Rockfeller Center,0
Brooklyn,298,Andaz Wall Street - a concept by Hyatt,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,3335,4.5,Brooklyn,0.4 km from Wall Street,0
Manhattan,298,Cambria Hotel Brooklyn - Times Square,,1136,4.5,Manhattan,0.3 km from Fifth Avenue Shopping Street,0
Manhattan,298,Cassa Hotel NY 45th Street,Free Internet Services;Free WI-Fi;24-hour Front Desk;,2619,4.5,Manhattan,0.5 km from Times Square,0
Manhattan,299,The Westin Brooklyn Grand Central,Free WI-Fi;Terrace;Restaurant;,4778,4,Manhattan,1.0 km from Fifth Avenue Shopping Street,0
Brooklyn,302,Edge Hotel Washington Heights,,null,null,Brooklyn,null,0
Brooklyn,302,NobleDEN Hotel,Free Internet Services;Free WI-Fi;24-hour Front Desk;,1005,4.5,Brooklyn,0.5 km from SoHo Shopping District,0
Manhattan,303,Fairfield Inn by Marriott Brooklyn Manhattan/Times Square,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,2205,4,Manhattan,0.4 km from Madame Tussauds Brooklyn,0
Brooklyn,303,W Brooklyn - Brooklyn,24-hour Front Desk;Multilingual Staff;Terrace;,1322,4,Brooklyn,0.7 km from One World Trade Center,0
Manhattan,303,Hilton Garden Inn Brooklyn/West 35th Street,Free WI-Fi;24-hour Front Desk;Restaurant;,5843,4.5,Manhattan,0.8 km from Empire State Building,0
Manhattan,304,San Carlos Hotel,24-hour Front Desk;Multilingual Staff;Restaurant;,1735,4.5,Manhattan,1.0 km from Rockfeller Center,0
Manhattan,305,LUMA Hotel Times Square,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,755,4.5,Manhattan,0.6 km from Madame Tussauds Brooklyn,0
Manhattan,305,Apartments Upper West Side,Free WI-Fi;24-hour Front Desk;Terrace;,null,null,Manhattan,1.8 km from Central Park,0
Brooklyn,306,Homewood Suites Melville,Free Internet Services;Free WI-Fi;24-hour Front Desk;,661,4,Brooklyn,null,0
Manhattan,307,Hyatt Place Brooklyn Manhattan South,24-hour Front Desk;Luggage Storage;Business Center;,2544,4,Manhattan,0.5 km from Empire State Building,0
Manhattan,307,Royalton Park Avenue,Free WI-Fi;Swimming Pool;Outdoor Pool;,2867,4.5,Manhattan,1.0 km from Empire State Building,0
Manhattan,307,Millennium Times Square Brooklyn,Parking;BarRestaurant;,6394,4,Manhattan,0.7 km from Times Square,0
Queens,309,Four Points by Sheraton Queens City Queensboro Bridge,Free Internet Services;Free WI-Fi;24-hour Front Desk;,579,4,Queens,4.9 km from Rockfeller Center,0
Manhattan,310,Sheraton Brooklyn Times Square Hotel,24-hour Front Desk;Multilingual Staff;Restaurant;,10352,4,Manhattan,0.5 km from Times Square,0
Manhattan,310,Courtyard by Marriott Brooklyn Manhattan/Upper East Side,Free Internet Services;Free WI-Fi;24-hour Front Desk;,1020,4,Manhattan,1.7 km from Solomon R.Guggenheim Museum,0
Brooklyn,311,Washington Square Hotel,Free Internet Services;Free WI-Fi;24-hour Front Desk;,1728,4,Brooklyn,2.5 km from Madison Square Garden,0
Manhattan,312,The Maritime Hotel,Free WI-Fi;Swimming Pool;24-hour Front Desk;,776,4.5,Manhattan,2.3 km from Madame Tussauds Brooklyn,0
Manhattan,313,Iberostar 70 Park Avenue,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,1025,4,Manhattan,0.8 km from Empire State Building,0
Manhattan,313,Room Mate Grace Boutique Hotel,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,1607,4.5,Manhattan,0.6 km from Madame Tussauds Brooklyn,0
Manhattan,313,The Kimpton Muse Hotel,24-hour Front Desk;Multilingual Staff;Restaurant;,3540,4.5,Manhattan,0.5 km from Times Square,0
Manhattan,314,Citadines Connect Fifth Avenue Brooklyn,Free WI-Fi;Multilingual Staff;Pets Allowed;,62,4,Manhattan,1 min from Fifth Avenue Shopping Street,0
Manhattan,314,Viceroy Central Park Brooklyn,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,1865,4,Manhattan,1.0 km from Times Square,0
Manhattan,315,Gardens Suites Hotel by Affinia,Free WI-Fi;24-hour Front Desk;Pets Allowed;,2179,4.5,Manhattan,2.3 km from Rockfeller Center,0
Manhattan,316,Royalton Hotel,24-hour Front Desk;Multilingual Staff;Pets Allowed;,2779,4,Manhattan,0.7 km from Fifth Avenue Shopping Street,0
Brooklyn,317,Roxy Hotel Tribeca,Free WI-Fi;24-hour Front Desk;Parking;,1307,5,Brooklyn,1.1 km from SoHo Shopping District,0
